@relation dados

@attribute loja {SantanaShopping, PinheirosShopping}
@attribute mes {Fevereiro, Marco}
@attribute hora {Manha, Tarde, Noite}
@attribute fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute fluxoVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute temperatura {Frio, Normal, Quente}
@attribute chuva {MuitaChuva,Chuva,Sol}
@attribute atendimento {Nenhum,1-5,6-10,11-14,15-19}

@data
SantanaShopping,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,Sol,Nenhum
SantanaShopping,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Frio,Sol,1-5
SantanaShopping,Marco,Manha,FluxoBaixo,VitrineMedio,Normal,MuitaChuva,Nenhum
SantanaShopping,Marco,Noite,FluxoBaixo,VitrineMedio,Frio,MuitaChuva,Nenhum
SantanaShopping,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Noite,FluxoAlto,VitrineMedio,Normal,MuitaChuva,1-5
SantanaShopping,Fevereiro,Tarde,FluxoAlto,VitrineMedio,Normal,MuitaChuva,1-5
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Frio,MuitaChuva,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,MuitaChuva,11-14
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Frio,Chuva,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,MuitaChuva,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,MuitaChuva,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,MuitaChuva,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,Chuva,1-5
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Sol,11-14
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Chuva,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Chuva,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Chuva,6-10
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Quente,Sol,6-10
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Quente,Sol,6-10
